feature,mean_importance
feat_85,-0.002741462652924831
feat_24,-0.002490249561817426
feat_96,-0.001685054164105515
feat_75,-0.001603885111766612
feat_64,-0.0015488389215856824
feat_123,-0.001481589694062113
feat_104,-0.0014668028206564544
feat_122,-0.0013933192399516515
feat_39,-0.0012535237414645906
feat_35,-0.0010648351844676496
feat_110,-0.0010524720354990302
feat_109,-0.0009685108753619831
feat_67,-0.0008686307128982218
feat_115,-0.0008233622733817558
feat_116,-0.0008144113326785662
feat_80,-0.0006897712248875365
feat_29,-0.0006665089260789348
feat_126,-0.000644663898130804
feat_88,-0.000584452187336737
feat_46,-0.0005657127985135401
feat_94,-0.00046549066292813637
feat_26,-0.00040452153423435887
feat_111,-0.00038601385779299944
feat_87,-0.00036772029635163684
feat_98,-0.0003283793657623102
feat_103,-0.00031830159692594064
feat_34,-0.0003032499340758221
feat_93,-0.000293462173921899
feat_32,-0.00027250885949454685
feat_11,-0.0002686475493192786
feat_101,-0.00025719793959617655
feat_4,-0.00024014599979020889
feat_31,-0.0002383065806554674
feat_56,-7.760359580013531e-05
feat_70,-4.650576489371172e-05
feat_89,-4.0255426426383245e-05
feat_66,-3.589218566166785e-05
feat_18,-2.1478915652761722e-05
feat_100,-2.1471346564050364e-05
feat_76,-9.32154638006999e-06
feat_105,8.32669200450109e-06
feat_118,4.5602293056479225e-05
feat_12,7.823527222470262e-05
feat_40,7.917815758802238e-05
feat_124,8.284868660237698e-05
feat_8,0.00011029527227304214
feat_113,0.00012419808194501502
feat_57,0.00020525073821668903
feat_72,0.00021219776924699118
feat_120,0.00025555931546683563
feat_97,0.0002780553966718058
feat_79,0.00028328148931702215
feat_49,0.0003111862948391053
feat_45,0.00035707206918962343
feat_59,0.0003751237627467541
feat_117,0.00039790939921229284
feat_92,0.0004362071412781887
feat_91,0.00048778235327024967
feat_41,0.000526294505412328
feat_82,0.0005734139204063959
feat_125,0.0006004268558237547
feat_84,0.0006402449239000906
feat_65,0.0006963550911964766
feat_74,0.0007283174806790749
feat_73,0.0007342282262831513
feat_99,0.0007565206583776352
feat_55,0.0007678668278831013
feat_121,0.000791175341302397
feat_61,0.0009091805042152235
feat_112,0.0009795364590102552
feat_1,0.0010127647304034593
feat_68,0.0011285394951901172
feat_62,0.0011330429175645973
feat_47,0.0011380613113362915
feat_119,0.0011547641002254804
feat_63,0.0011926876522597052
feat_30,0.0012476344904565283
feat_71,0.0013604963402033877
feat_90,0.0014032736961574921
feat_53,0.0014866081114925044
feat_3,0.0015135418705413794
feat_127,0.0015281591929911186
feat_0,0.0016917099518414247
feat_50,0.0017406392337481647
feat_107,0.0017831864457387159
feat_86,0.0018026307782424756
feat_9,0.0018696345628528954
feat_21,0.002011192097335757
feat_102,0.0020195348786492097
feat_52,0.0020277806513541163
feat_95,0.0020423322674524512
feat_44,0.002086273127572147
feat_77,0.0021685758606986073
feat_48,0.00217501912866207
feat_108,0.0023509921210959073
feat_106,0.0024070530036299333
feat_69,0.002468500277831942
feat_23,0.002476956853220269
feat_114,0.0025260084913482973
feat_42,0.0026255343307996616
feat_83,0.0026919316283992244
feat_17,0.0027167504541896204
feat_54,0.0029928165266794203
feat_78,0.0030897476870113127
feat_14,0.0032737767138847794
feat_51,0.0033168224357359
feat_20,0.003435817657930862
feat_60,0.0036842253944587176
feat_43,0.0037148765834631448
feat_10,0.0039259581407528055
feat_38,0.003994088054439371
feat_13,0.004730522533732429
feat_27,0.005138887220665822
feat_36,0.005371350634389383
feat_33,0.006199649753547076
feat_28,0.006208424137811974
feat_2,0.007182721072770714
feat_37,0.008117497416553432
feat_58,0.00832464174263665
feat_15,0.00862713247093525
feat_19,0.00878079079686378
feat_22,0.008833649159958568
feat_16,0.010430916613896746
feat_25,0.011153328831232611
feat_5,0.015172831628936567
feat_6,0.016524994450921572
feat_81,0.02364894417002139
feat_7,0.03204867579495065
