feature,mean_importance
feat_98,-0.00027031517855742316
feat_20,-0.0001706443116066936
feat_21,-0.00015624321271645591
feat_32,-0.00014434004410319724
feat_28,-0.000129983917342269
feat_94,-0.00011033737796677379
feat_119,-0.00010060093021033723
feat_18,-9.868829403982815e-05
feat_92,-9.532452542844183e-05
feat_89,-8.438198372262562e-05
feat_33,-6.216153453637574e-05
feat_88,-3.663042369486114e-05
feat_103,-3.6275520414141835e-05
feat_62,-3.379960038434327e-05
feat_77,-3.344713298738533e-05
feat_30,-2.4056089264101744e-05
feat_97,-2.090324108636743e-05
feat_99,-2.0360309994060798e-05
feat_64,-2.026853206391621e-05
feat_29,-1.9655695450992994e-05
feat_49,-1.8947832256666076e-05
feat_125,-1.7372603537424426e-05
feat_113,-1.5277430540061586e-05
feat_82,-1.38811116876969e-05
feat_126,-6.7620073371355e-06
feat_109,-6.1898608468169415e-06
feat_86,-5.864710539116302e-06
feat_41,0.0
feat_104,0.0
feat_105,0.0
feat_84,0.0
feat_117,0.0
feat_56,0.0
feat_57,0.0
feat_100,0.0
feat_107,0.0
feat_87,0.0
feat_120,0.0
feat_67,5.828574523292218e-06
feat_123,7.892487852378949e-06
feat_35,1.583915620395615e-05
feat_75,1.777996770044865e-05
feat_47,1.7994946434729542e-05
feat_73,1.8090511822244083e-05
feat_23,1.8461805697800315e-05
feat_50,2.1478917888329007e-05
feat_46,2.3141465878939726e-05
feat_61,2.3742660167513917e-05
feat_111,2.3866602529754034e-05
feat_114,2.478565045000991e-05
feat_78,2.686324224052683e-05
feat_8,2.7948609022221405e-05
feat_90,3.6194346781837085e-05
feat_59,3.889737481803657e-05
feat_39,4.304899311606825e-05
feat_79,4.498442396849711e-05
feat_42,4.640783020612993e-05
feat_95,4.695390086624229e-05
feat_68,5.782146413810807e-05
feat_108,6.058936381698743e-05
feat_85,6.191028198152538e-05
feat_115,7.405887685725254e-05
feat_124,7.643938321071353e-05
feat_48,7.85318479579189e-05
feat_24,8.343253592641986e-05
feat_70,8.5050511900997e-05
feat_31,8.52131948291035e-05
feat_9,8.770874590338095e-05
feat_66,9.189215085965152e-05
feat_22,9.229444968665846e-05
feat_76,9.235360726385089e-05
feat_74,9.305507218395625e-05
feat_44,9.646084317025406e-05
feat_93,9.926617662143755e-05
feat_91,9.933659846388388e-05
feat_80,0.0001015783326952402
feat_102,0.0001028891264827525
feat_26,0.00010628607294531634
feat_34,0.00010741267923983778
feat_52,0.0001075999866071875
feat_53,0.0001170378758880819
feat_71,0.00011771754705658388
feat_13,0.00012253797833001735
feat_55,0.00012320213809418056
feat_112,0.00012349920194343333
feat_101,0.00012645403322939509
feat_17,0.00013556302776556172
feat_45,0.00013857325080102179
feat_118,0.00014273683618721834
feat_54,0.00014511064721305366
feat_127,0.00015051994287578195
feat_14,0.00015403938593983035
feat_65,0.00015439033733399832
feat_106,0.0001591556503550251
feat_0,0.00017154689308305216
feat_116,0.00018223876558112195
feat_72,0.0001829866226050303
feat_110,0.00018947028110698482
feat_96,0.0001896566866832927
feat_4,0.00019082846075035853
feat_121,0.0001986661515601007
feat_10,0.00021369997899407523
feat_12,0.00023066455565872167
feat_60,0.0002504801533237622
feat_27,0.00025166325655536783
feat_51,0.0002645121010778073
feat_83,0.0002842168269820533
feat_37,0.00031033552478407775
feat_43,0.0003395541430901261
feat_36,0.0003398775547204913
feat_40,0.0005918439557893951
feat_58,0.0006495222717798121
feat_69,0.0006679810446124535
feat_122,0.0006718778372669209
feat_11,0.0006750772773119085
feat_1,0.0007404730023924611
feat_38,0.0008968850114600801
feat_3,0.001109849772604443
feat_15,0.0014013488944587759
feat_63,0.0017640931854811192
feat_81,0.0017957400214930086
feat_19,0.0019027442243028769
feat_5,0.0021745401334626103
feat_25,0.0026786080726872276
feat_2,0.0035758489423362238
feat_6,0.009592349745178507
feat_16,0.018513158506551265
feat_7,0.04108715739431821
